city_name,title,address,latitude,longitude,comment
Lyon,U Express et drive,"72 Rue de Marseille, 69007 Lyon, France",45.749893,4.8387094,
Lyon,Super U et drive,"14 Rue Frédéric Mistral, 69003 Lyon, France",45.756596,4.875078,"SUPER U LYON MISTRAL
14 rue Frédéric Mistral
69003 LYON
Tél : 0472918020
Horaires :
Lundi : 08h30 à 20h30
Mardi : 08h30 à 20h30
Mercredi : 08h30 à 20h30
Jeudi : 08h30 à 20h30
Vendredi : 08h30 à 20h30
Samedi : 08h30 à 20h30
Dimanche : 08h30 à 12h30"
Lyon,U Express et drive,"52 Rue de la Thibaudière, 69007 Lyon, France",45.74905,4.8473563,
Lyon,La Maie du 26,"26 Rue Chevreul, 69007 Lyon, France",45.748814,4.83885,"Boulangerie.
Message du 18/03 :
Au lieu de gaspiller, Si vous voulez passer acheter des pâtisseries, du pain, de la viennoiserie ( croissant, pain au chocolat, kouign Amann , brioche aux pralines, sablés...), on vous en offre une autre.... AVIS À TOUS LES GOURMANDS !"
Lyon,LEAF MARKET,"254 Avenue Franklin Roosevelt, 69120 Vaulx-en-Velin, France",45.745506,4.9322815,"Pour l'instant pas de changement d'horaire
Ouverture de 9h00 à 20h00"
Lyon,Supermarché Asie,"12 Rue Passet, 69007 Lyon, France",45.754566,4.841541,
Lyon,Shalimar Restaurant,"39 Quai du Dr Gailleton, 69002 Lyon, France",45.751102,4.8320527,"Ouvert pour la vente a emporter.(19h-22h30)
Vous pouvez commander aussi au 04 78 42 18 20
"
Lyon,Aldo Pizza,"93 Rue Masséna, 69006 Lyon, France",45.76568,4.854992,"Pas de changement pour le moment
#NOUVEAUTÉ : 
1 PIZZA ACHETÉE = 1 PIZZA OFFERTE !*
7 SUR 7 - JUSQU'À 5 HEURE DU MATIN#
Tel : 04 37 24 06 06"
Lyon,LIBANO PIZZA,"151 Avenue Félix Faure, 69003 Lyon, France",45.754536,4.865331,"Pour linstant le restaurant fonctionne aux heures habituelles.
Vous pouvez commander aussi au 09.82.22.51.83 (appel NON surtaxé)"
Lyon,Maestro Pizzas,"11 Place Jules Guesde, 69007 Lyon, France",45.747204,4.8377843,"Uniquement à emporter
tel 04 72 72 90 90"
Lyon,Chez Jules Boulangerie Victor Hugo,"39 Rue Victor Hugo, 69002 Lyon, France",45.753597,4.8296123,"Nouveaux horaires: 
Ouvert de 7h00-18h00
Vu la situation il est vivement conseillé d'appeler avant de vous déplacer.
tel: 09 67 13 16 88
"
Lyon,L'Epicerie Equitable,"78 Rue Montesquieu, 69007 Lyon, France",45.75136,4.8446426,"A compter du 18 mars 2020, 
- l’épicerie équitable de Lyon ne sera plus accessible physiquement
- les commandes s’opéreront uniquement par courriel, téléphone et pigeon voyageur 
Voici le processus de commande :
1. Vous préparez votre commande idéale de chez vous 
2. Vous téléphonez au 04 37 28 07 71 ou envoyez un courriel à commandes@epicerie-equitable.com (en laissant votre téléphone)
3. Nous préparons votre commande
4. Nous vous rappelons pour faire le point
5. Nous procédons à l’encaissement sécurisé par CB à distance
6. Nous convenons d’une heure de RDV entre 9h et 17h
7. Vous passez récupérer votre commande déjà réglée
8. Vous buvez un coup à notre santé"
Lyon,Biocoop Saxe Gambetta,"15 Avenue Jean Jaurès, 69007 Lyon, France",45.752678,4.8466215,"Attention
Nouveaux horaires
Magasin ouvert de  9h-19h30"
Lyon,La Miche Au Vieux Four,"153 Avenue Maréchal de Saxe, 69003 Lyon, France",45.754772,4.8470984,"Pour l'instant les horaires habituels sont maintenus. 
Conseille d'appeler avant de vous déplacer.
tel: 04 78 62 35 55"
Lyon,Frédéric Henon Gambetta,"14 Cours Gambetta, 69007 Lyon, France",45.75538,4.8420143,"Pour l'instant les horaires habituels sont maintenus. 
Conseille d'appeler avant de vous déplacer.
tel: 04 72 73 38 58"
